"","sample","condition","time","activated",".cell_cycle",".gender","cluster"
"notact_004","q2_tcell_notact_004","notact","0h","notact","G1",NA,"c1"
"notact_007","q2_tcell_notact_007","notact","0h","notact","G1",NA,"c1"
"notact_008","q2_tcell_notact_008","notact","0h","notact","G1",NA,"c1"
"notact_009","q2_tcell_notact_009","notact","0h","notact","G1",NA,"c1"
"notact_010","q2_tcell_notact_010","notact","0h","notact","G1",NA,"c1"
"notact_011","q2_tcell_notact_011","notact","0h","notact","G1",NA,"c1"
"notact_014","q2_tcell_notact_014","notact","0h","notact","G1",NA,"c1"
"act12h_018","q3_tcell_act12h_018","act12h","12h","act","G1",NA,"c3"
"act12h_019","q3_tcell_act12h_019","act12h","12h","act","G1",NA,"c3"
"act12h_020","q3_tcell_act12h_020","act12h","12h","act","G1",NA,"c3"
"act24h_023","q3_tcell_act24h_023","act24h","24h","act","S",NA,"c3"
"act48h_026","q3_tcell_act48h_026","act48h","48h","act","S",NA,"c2"
"act48h_027","q3_tcell_act48h_027","act48h","48h","act","S",NA,"c2"
"act72h_028","q3_tcell_act72h_028","act72h","72h","act","S",NA,"c2"
"act72h_029","q3_tcell_act72h_029","act72h","72h","act","S",NA,"c2"
"act72h_030","q3_tcell_act72h_030","act72h","72h","act","S",NA,"c2"
"act96h_032","q3_tcell_act96h_032","act96h","96h","act","S",NA,"c2"
"act96h_034","q3_tcell_act96h_034","act96h","96h","act","S",NA,"c2"
