"","condition","time","activated",".cell_cycle"
"act12h_018","act12h","12h","act","G1"
"act12h_019","act12h","12h","act","G1"
"act24h_023","act24h","24h","act","G1"
"act48h_026","act48h","48h","act","S"
"act48h_027","act48h","48h","act","S"
"act72h_028","act72h","72h","act","S"
"act72h_029","act72h","72h","act","S"
"act72h_030","act72h","72h","act","S"
"act96h_032","act96h","96h","act","S"
"act96h_034","act96h","96h","act","S"
"notact_004","notact","0h","notact","G1"
"notact_007","notact","0h","notact","G1"
"notact_008","notact","0h","notact","G1"
